occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,79.08,-2.31,-3.21,100.00,100.00,0.45,100.00,99.55
Personal financial advisor,Loan officer,32.6,51.6,79.02,1.67,-1.43,95.00,66.67,1.55,80.83,79.58
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,78.96,-0.51,-2.06,100.00,100.00,0.78,100.00,99.22
Software quality tester,Customer service representative,44.1,65.3,78.93,0.54,-6.24,95.00,96.43,3.39,95.71,92.47
Postsecondary teacher,Insurance underwriter,46.6,56.9,78.78,-1.22,-1.27,100.00,100.00,0.03,100.00,99.97
Web and digital interface designer,Social and community service manager,42.7,71.7,78.77,1.57,-6.24,100.00,100.00,3.90,100.00,96.10
Software developer,Insurance underwriter,20.2,56.9,78.63,-0.52,-6.24,100.00,100.00,2.86,100.00,97.14
Property assessor,Insurance sales agent,34.2,54.9,78.62,-3.19,-2.92,100.00,100.00,-0.14,100.00,99.86
Software quality tester,Graphic designer,44.1,54.7,78.60,-0.95,0.94,77.50,100.00,-0.94,88.75,87.91
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,78.58,-1.34,-2.12,100.00,100.00,0.39,100.00,99.61
Chemical technician,Ophthalmic medical technician,35.0,73.7,78.53,-3.40,0.03,100.00,100.00,-1.72,100.00,98.28
Lawyer,Insurance underwriter,39.5,56.9,78.48,0.14,-6.83,100.00,87.50,3.49,93.75,90.48
Web and digital interface designer,Payroll and timekeeping clerk,42.7,88.2,78.41,1.40,-4.75,100.00,100.00,3.07,100.00,96.93
Database administrator,Executive secretary,30.8,90.0,78.39,-0.21,-8.98,80.00,95.83,4.38,87.92,84.06
Lawyer,Loan officer,39.5,51.6,78.35,-2.06,-4.00,97.50,89.74,0.97,93.62,92.71
Postsecondary teacher,Mental health counselor,46.6,74.6,78.31,-1.11,0.04,97.50,100.00,-0.58,98.75,98.18
First-line supervisor of retail sales workers,Billing and posting clerk,44.6,91.4,78.25,-0.85,-0.82,100.00,100.00,-0.01,100.00,99.99
First-line supervisor of retail sales workers,Social and human service assistant,44.6,75.3,78.13,-1.44,-2.24,100.00,100.00,0.40,100.00,99.60
Occupational health and safety specialist,Order clerk,17.9,58.3,78.11,-5.52,-2.55,97.50,100.00,-1.48,98.75,97.28
Occupational health and safety specialist,Insurance sales agent,17.9,54.9,78.10,-5.29,-0.70,100.00,100.00,-2.30,100.00,97.70
First-line supervisor of retail sales workers,Customer service representative,44.6,65.3,78.03,-0.68,-2.99,88.89,100.00,1.15,94.44,93.35
Cost estimator,Graphic designer,17.7,54.7,78.03,-2.01,-1.23,80.00,100.00,-0.39,90.00,89.65
Web and digital interface designer,Insurance sales agent,42.7,54.9,78.02,-0.08,-4.89,100.00,100.00,2.40,100.00,97.60
Personal financial advisor,Insurance underwriter,32.6,56.9,78.01,-0.14,-5.60,100.00,100.00,2.73,100.00,97.27
Food service manager,Lodging manager,46.7,61.6,78.00,-1.25,-0.19,100.00,100.00,-0.53,100.00,99.47
Software quality tester,Advertising sales agent,44.1,52.7,77.98,-2.61,-2.14,100.00,100.00,-0.24,100.00,99.76
Software quality tester,Insurance underwriter,44.1,56.9,77.97,-1.46,-1.85,100.00,100.00,0.20,100.00,99.80
Printing press operator,Filling machine operator,24.7,57.3,77.95,-0.15,-4.51,100.00,100.00,2.18,100.00,97.82
Counter and rental clerk,Billing and posting clerk,38.7,91.4,77.93,-0.94,1.12,100.00,100.00,-1.03,100.00,98.97
Web developer,Public relations specialist,19.4,76.2,77.89,0.74,-7.08,100.00,97.50,3.91,98.75,94.89
Web and digital interface designer,Public relations specialist,42.7,76.2,77.89,1.70,-4.27,100.00,100.00,2.98,100.00,97.02
Photographer,Artist,48.5,51.6,77.87,1.35,-1.76,87.50,90.00,1.55,88.75,87.37
Database administrator,Compliance officer,30.8,51.8,77.85,0.27,-5.30,100.00,85.00,2.79,92.50,89.92
Chief executive,Executive secretary,30.6,90.0,77.82,0.74,-5.85,100.00,100.00,3.30,100.00,96.70
First-line supervisor of retail sales workers,Advertising sales agent,44.6,52.7,77.77,-2.33,-1.32,100.00,100.00,-0.51,100.00,99.49
Cost estimator,Advertising sales agent,17.7,52.7,77.74,-1.96,-2.51,100.00,69.23,0.27,84.62,84.38
Surgeon,Physician assistant,20.0,68.8,77.67,4.05,-2.65,67.74,95.00,3.35,81.37,78.64
First-line supervisor of production and operating workers,First-line supervisor of office and administrative support workers,23.5,65.8,77.67,-1.72,-4.13,100.00,100.00,1.20,100.00,98.80
Web developer,Insurance sales agent,19.4,54.9,77.45,-2.08,-6.56,100.00,100.00,2.24,100.00,97.76
Cost estimator,Public relations specialist,17.7,76.2,77.43,-1.86,-3.39,100.00,100.00,0.77,100.00,99.23
Logistician,Compliance officer,38.7,51.8,77.42,-0.52,-4.52,100.00,97.50,2.00,98.75,96.78
Mechanical engineer,Medical scientist,10.1,51.8,77.42,0.77,-3.52,95.00,100.00,2.15,97.50,95.41
Occupational health and safety specialist,Advertising sales agent,17.9,52.7,77.35,-4.40,-1.33,100.00,100.00,-1.53,100.00,98.47
Property assessor,Lodging manager,34.2,61.6,77.25,-4.39,-3.16,100.00,100.00,-0.62,100.00,99.38
Software quality tester,Insurance sales agent,44.1,54.9,77.18,-3.50,-1.56,100.00,95.45,-0.97,97.73,96.78
Wastewater treatment system operator,Filling machine operator,7.3,57.3,77.18,-3.24,-3.94,100.00,100.00,0.35,100.00,99.65
First-line supervisor of housekeeping and janitorial workers,First-line supervisor of food preparation and serving workers,44.1,53.5,77.16,-1.16,-0.82,100.00,100.00,-0.17,100.00,99.83
Computer systems manager,Compliance officer,27.7,51.8,77.12,-1.68,-2.73,100.00,85.00,0.53,92.50,92.01
